"","time","I","D","I_.25","D_.25","I_.5","D_.5","I_.6","D_.6","I_.7","D_.7","I_.8","D_.8"
"213",212,790.071418719318,169076.09920367,2808.37946807902,161385.25051657,10449.3061789978,150687.276693892,17713.3810401727,144918.57248844,29727.7864351106,137673.090590084,48602.333354416,128160.976610671
"214",213,737.663267970763,169081.553259985,2640.43830261703,161404.704438897,9904.28998581855,150759.951040115,16854.1719455783,145042.003431993,28413.2612819634,137880.704069016,46711.0080408045,128501.342633136
"215",214,688.728676391122,169086.645519463,2482.50602726868,161422.994890926,9387.25506586805,150828.83317807,16035.3836707697,145159.442607741,27153.384778669,138079.124435291,44884.098363633,128828.430100862
"216",215,643.037786044621,169091.399962986,2333.99008601034,161440.19122724,8896.81047472318,150894.117980124,15255.2355920346,145271.172336411,25946.1964067393,138268.735010377,43120.1640121291,129142.693992233
"217",216,600.375902563218,169095.838984361,2194.33254461456,161456.358694737,8431.62972344796,150955.990610376,14512.0137543524,145377.462458828,24789.7773886722,138449.905259807,41417.7305640196,129444.578881776
"218",217,560.542500843579,169099.983495038,2063.00812133449,161471.558672824,7990.44831681198,151014.626968388,13804.06956596,145478.570807541,23682.2527035698,138622.991098751,39775.2971138863,129734.518718036
"219",218,523.350295166289,169103.853021966,1939.52232330769,161485.848899935,7572.06124831496,151070.194139058,13129.8183715654,145574.743671033,22621.7927211985,138788.335210609,38191.3433443636,130012.936652158
"220",219,488.624369670145,169107.465799017,1823.40968378298,161499.283687094,7175.32059668491,151122.850806024,12487.7379479511,145666.216245117,21606.6144887298,138946.267376037,36664.3357496995,130280.244925511
"221",220,456.201365339975,169110.838852404,1714.23209505781,161511.914119272,6799.13316316152,151172.747652816,11876.3669567098,145753.213060885,20634.9827046341,139097.10481,35192.7334110822,130536.844796049
"222",221,425.928719918769,169113.988080491,1611.57723212567,161523.788245247,6442.45819470864,151220.027744731,11294.3032713287,145835.948427102,19705.2104092703,139241.152504769,33774.9932406053,130783.126504337
"223",222,397.663957363273,169116.928328339,1515.05706801455,161534.951255916,6104.30521937158,151264.826883786,10740.2022946775,145914.626845594,18815.659421109,139378.703576927,32409.574722601,131019.469275481
"224",223,371.274023669165,169119.673457357,1424.30646487743,161545.445653144,5783.73179210505,151307.27397524,10212.7752894468,145989.443404252,17964.7405456129,139510.039616646,31094.9442025661,131246.241352964
"225",224,346.634666093345,169122.236410357,1338.98184547628,161555.311408584,5479.84141996511,151347.491358787,9710.78753873505,146060.584196308,17150.9135809123,139635.431037739,29829.5787323878,131463.800061654
"226",225,323.629852979497,169124.629272329,1258.7599408334,161564.586113041,5191.78159387863,151385.595118981,9233.05666586535,146128.22668485,16372.6871434929,139755.13742708,28611.9695081946,131672.491896648
"227",226,302.151231569735,169126.863327199,1183.33660800651,161573.305117211,4918.74164905801,151421.695419805,8778.45092798682,146192.540059902,15628.618334913,139869.407892208,27440.6249217072,131872.65263558
"228",227,282.097621349299,169128.949110854,1112.42571392616,161581.501664297,4659.95100150616,151455.896776013,8345.88746150162,146253.685603965,14917.3122687852,139978.481406034,26314.0732473116,132064.60747175
"229",228,263.374540623625,169130.896460656,1045.75808263767,161589.207014864,4414.67734661303,151488.298327871,7934.33055061671,146311.817035167,14237.4214760093,140082.587147731,25230.8650170117,132248.671164136
"230",229,245.893764173892,169132.714561701,983.080503101091,161596.450564318,4182.22483850021,151518.994118552,7542.78991585275,146367.080838714,13587.6452044388,140181.944838983,24189.5750769255,132425.148203832
"231",230,229.572909972818,169134.411990008,924.154791651849,161603.259953746,3961.93240291261,151548.073346468,7170.31904536493,146419.616585466,12966.7286279357,140276.765074894,23188.8043533534,132594.332994456
"232",231,214.335053070525,169135.996752867,868.756910652735,161609.661173941,3753.17210954485,151575.620607423,6816.013590955,146469.557229736,12373.4619776104,140367.249648955,22227.1813611127,132756.510043995
