"","time","S","E","I","R","D","N_t"
"57",56,785776.393718674,645260.712927242,878440.839280697,1605995.95136972,84526.1027036692,4e+06
"58",57,696319.446741709,609210.49481413,878375.388572473,1725289.9363781,90804.7334935843,4e+06
"59",58,617352.755854458,570197.453320466,871297.611241727,1844094.57060418,97057.6089791673,4e+06
"60",59,548123.319586476,529443.356237906,857706.887158836,1961490.11516594,103236.321850839,4e+06
"61",60,487768.060413179,488047.192477529,838252.837762126,2076635.3138798,109296.595467358,4e+06
"62",61,435378.181086044,446949.300289191,813688.6977747,2188784.62980756,115199.191042503,4e+06
"63",62,390049.108352008,406915.094213981,784826.106903353,2297299.20600412,120910.484526533,4e+06
"64",63,350915.992121741,368534.808667392,752494.495516121,2401651.96851001,126402.735184737,4e+06
"65",64,317176.492719121,332234.772886834,717506.999523339,2501427.64812717,131654.086743535,4e+06
"66",65,288103.221246425,298295.981919215,680633.773458418,2596318.67220714,136648.351168797,4e+06
"67",66,263048.407212017,266876.308298674,642582.703985966,2686117.95147817,141374.629025167,4e+06
"68",67,241443.03319694,238033.685505073,603986.979388671,2770709.48681385,145826.815095466,4e+06
"69",68,222792.601774149,211748.068198573,565398.539667343,2850057.75084194,150003.039517997,4e+06
"70",69,206670.783273349,187941.376047529,527286.279301417,2924196.48330882,153905.078068885,4e+06
"71",70,192712.209749039,166494.544569923,490037.961201703,2993217.52025537,157537.764223967,4e+06
"72",71,180605.077451356,147261.649186678,453964.789738335,3057260.05944245,160908.424181181,4e+06
"73",72,170084.037867054,130081.221824927,419307.696903517,3116500.69123427,164026.352170225,4e+06
"74",73,160923.647507366,114784.986371578,386244.687817438,3171144.34438843,166902.333915181,4e+06
"75",74,152932.494573573,101204.409955265,354898.596388942,3221416.27412811,169548.224954111,4e+06
"76",75,145948.04331887,89175.4102228647,325344.859027719,3267555.10305902,171976.584371527,4e+06
"77",76,139832.173770974,78541.5805524054,297618.983049272,3309806.89949598,174200.363131367,4e+06
"78",77,134467.364902746,69156.2497941086,271723.502665247,3348420.238506,176232.644131895,4e+06
"79",78,129753.455349641,60883.6443160018,247634.307958949,3383642.16275663,178086.42961877,4e+06
"80",79,125604.909030694,53599.3850857602,225306.277400867,3415714.95705854,179774.471424134,4e+06
"81",80,121948.518900145,47190.4945483829,204678.207034127,3444873.64054148,181309.138975867,4e+06
"82",81,118721.479263861,41555.0756979852,185677.04775784,3471344.0774163,182702.319864016,4e+06
"83",82,115869.775010411,36601.7566403167,168221.498391382,3495341.62145999,183965.348497894,4e+06
"84",83,113346.833333424,32249.001291493,152225.002563384,3517070.20467111,185108.958140585,4e+06
"85",84,111112.396191687,28424.3462345445,137598.20713553,3536721.79791632,186143.252521912,4e+06
"86",85,109131.57671646,25063.6079076128,124250.95181404,3554476.17038379,187077.693178094,4e+06
"87",86,107374.068045526,22110.0974083354,112093.843947079,3570500.8910691,187921.099529953,4e+06
"88",87,105813.481673728,19513.8606548992,101039.47534382,3584951.52321117,188681.659116378,4e+06
"89",88,104426.784890799,17230.9627189814,91003.355506946,3597971.95203911,189366.944844164,4e+06
"90",89,103193.83231838,15222.8224803865,81904.573424843,3609694.83318757,189983.938588819,4e+06
"91",90,102096.968988448,13455.6014383139,73666.2576250586,3620242.11335077,190539.058597409,4e+06
"92",91,101120.692642387,11899.6485843307,66215.8715166662,3629725.59789378,191038.189362831,4e+06
"93",92,100251.367114129,10529.0003930794,59485.3677815568,3638247.55147567,191486.713235562,4e+06
"94",93,99476.978141504,9320.93312324423,53411.2344793981,3645901.31154306,191889.542712793,4e+06
"95",94,98786.9246176086,8255.56424118888,47934.4564224447,3652771.90198282,192251.152735938,4e+06
"96",95,98171.839574466,7315.49925246909,43000.4116265105,3658936.63706922,192575.612477328,4e+06
"97",96,97623.4362252247,6485.51988376188,38558.7198387884,3664465.70784961,192866.616202611,4e+06
"98",97,97134.3751572184,5752.30967561737,34563.056726978,3669422.74551817,193127.512922009,4e+06
"99",98,96698.1494414425,5104.21312651618,30970.9449104526,3673865.35789551,193361.334626079,4e+06
"100",99,96308.9849669232,4531.02473080788,27743.5308402092,3677845.63648895,193570.822973103,4e+06
"101",100,95961.7537516507,4023.80452900667,24845.3546384837,3681410.63272681,193758.454354043,4e+06
"102",101,95651.8983506492,3574.71706117471,22244.1184808358,3684602.80280197,193926.463305367,4e+06
"103",102,95375.3657840228,3176.8909060434,19910.457804066,3687460.42123057,194076.864275293,4e+06
"104",103,95128.549657546,2824.29627477801,17817.7185523958,3690017.96373951,194211.471775764,4e+06
"105",104,94908.2393553385,2511.63839889634,15941.7428043611,3692306.46046933,194331.91897207,4e+06
"106",105,94711.5753554957,2234.26470730594,14260.6644130127,3694353.82074797,194439.674776209,4e+06
"107",106,94536.0098620618,1988.08402209696,12754.7157237568,3696185.13087248,194536.059519604,4e+06
"108",107,94379.2720655302,1769.49621615367,11406.0459835878,3697822.92644799,194622.259286736,4e+06
"109",108,94239.3374433472,1575.33096824675,10198.5517020395,3699287.44089205,194699.338994318,4e+06
"110",109,94114.4005951691,1402.79442329043,9117.71895204803,3700596.83172802,194768.254301475,4e+06
"111",110,94002.8511230532,1249.4226021249,8150.47717355804,3701767.3866462,194829.862455063,4e+06
"112",111,93903.2524386169,1113.04123248252,7285.06512733264,3702813.70914149,194884.932060078,4e+06
"113",112,93814.3227239078,991.730163326721,6510.90678766417,3703748.88830884,194934.152016255,4e+06
"114",113,93734.9180616883,883.792387824943,5818.49782885147,3704584.65213555,194978.139586082,4e+06
"115",114,93664.017504233,787.727291117125,5199.3019305843,3705331.50561036,195017.447663703,4e+06
"116",115,93600.709784372,702.207085155331,4645.65633856922,3705998.85545231,195052.571339595,4e+06
"117",116,93544.1814587141,626.056170210055,4150.68575637405,3706595.12278396,195083.953830735,4e+06
"118",117,93493.7063541882,558.233107630188,3708.22408748054,3707127.84462816,195111.991822535,4e+06
"119",118,93448.6361695914,497.814789306094,3312.74351557815,3707603.76524925,195137.040276276,4e+06
"120",119,93408.3920970249,443.982572257993,2959.2902254513,3708028.91835,195159.416755263,4e+06
"121",120,93372.4573527154,396.010101241179,2643.42627031944,3708408.70096194,195179.405313786,4e+06
"122",121,93340.3705166484,353.252601374633,2361.17706348338,3708747.93982757,195197.259990925,4e+06
"123",122,93311.7195908014,315.137467635455,2108.98397631272,3709050.95101699,195213.207948262,4e+06
"124",123,93286.1366985598,281.155976871019,1883.66161063543,3709321.59342824,195227.452285697,4e+06
"125",124,93263.2933547892,250.855986526179,1682.35930908826,3709563.31678212,195240.17456748,4e+06
"126",125,93242.8962444794,223.835497736434,1502.52651035883,3709779.20466005,195251.537087371,4e+06
